,rt,old or new,accuracy,test item,condition,trials,block,node type,participant,resp_old,response,node_type,participant_id
81,0.7468916866928339,new,1.0,stimuli/131.png,unstructured,81,2,new,24067.0,0,-1,new,24067.0
82,0.7536504380404949,new,1.0,stimuli/39.png,unstructured,82,2,new,24067.0,0,-1,new,24067.0
83,0.9531551003456116,old,1.0,stimuli/148.png,unstructured,83,2,nonboundary,24067.0,1,1,nonboundary,24067.0
84,1.2443458731286228,new,1.0,stimuli/130.png,unstructured,84,2,new,24067.0,0,-1,new,24067.0
85,0.8305295375175774,old,1.0,stimuli/52.png,unstructured,85,2,boundary,24067.0,1,1,boundary,24067.0
86,1.4607430370524526,old,1.0,stimuli/154.png,unstructured,86,2,nonboundary,24067.0,1,1,nonboundary,24067.0
87,1.5936031686142087,old,1.0,stimuli/207.png,unstructured,87,2,nonboundary,24067.0,1,1,nonboundary,24067.0
88,1.0492153372615576,new,1.0,stimuli/223.png,unstructured,88,2,new,24067.0,0,-1,new,24067.0
89,0.7689893115311861,old,1.0,stimuli/67.png,unstructured,89,2,nonboundary,24067.0,1,1,nonboundary,24067.0
90,5.888846026267856,new,0.0,stimuli/274.png,structured,0,0,new,24068.0,1,1,new,24068.0
91,2.697662773076445,new,0.0,stimuli/219.png,structured,1,0,new,24068.0,1,1,new,24068.0
92,0.9750185641460121,old,1.0,stimuli/247.png,structured,2,0,nonboundary,24068.0,1,1,nonboundary,24068.0
93,0.7368755470961332,old,1.0,stimuli/294.png,structured,3,0,nonboundary,24068.0,1,1,nonboundary,24068.0
94,0.9877539318986237,new,1.0,stimuli/256.png,structured,4,0,new,24068.0,0,-1,new,24068.0
95,1.018617223482579,new,0.0,stimuli/163.png,structured,5,0,new,24068.0,1,1,new,24068.0
96,0.9064816320315003,new,1.0,stimuli/137.png,structured,6,0,new,24068.0,0,-1,new,24068.0
97,1.0016586678102612,new,1.0,stimuli/234.png,structured,7,0,new,24068.0,0,-1,new,24068.0
98,0.9471915843896568,new,1.0,stimuli/45.png,structured,8,0,new,24068.0,0,-1,new,24068.0
99,0.7540013282559812,old,1.0,stimuli/283.png,structured,9,0,boundary,24068.0,1,1,boundary,24068.0
100,0.5946128768846393,old,1.0,stimuli/32.png,structured,10,0,nonboundary,24068.0,1,1,nonboundary,24068.0
101,0.6174819646403193,old,0.0,stimuli/192.png,structured,11,0,boundary,24068.0,0,-1,boundary,24068.0
102,1.5090123456902802,old,0.0,stimuli/68.png,structured,12,0,nonboundary,24068.0,0,-1,nonboundary,24068.0
103,0.5308041293174028,new,1.0,stimuli/56.png,structured,13,0,new,24068.0,0,-1,new,24068.0
104,0.7090576235204935,old,1.0,stimuli/19.png,structured,14,0,nonboundary,24068.0,1,1,nonboundary,24068.0
105,0.8786462009884417,old,1.0,stimuli/95.png,structured,15,0,nonboundary,24068.0,1,1,nonboundary,24068.0
106,0.523128679022193,new,0.0,stimuli/11.png,structured,16,0,new,24068.0,1,1,new,24068.0
107,0.9766953424550593,new,1.0,stimuli/243.png,structured,17,0,new,24068.0,0,-1,new,24068.0
108,1.0648757885210216,old,1.0,stimuli/69.png,structured,18,0,nonboundary,24068.0,1,1,nonboundary,24068.0
109,0.6807461739517748,old,1.0,stimuli/23.png,structured,19,0,nonboundary,24068.0,1,1,nonboundary,24068.0
110,0.5249400823377073,new,0.0,stimuli/35.png,structured,20,0,new,24068.0,1,1,new,24068.0
111,5.832650245632976,new,0.0,stimuli/15.png,structured,21,0,new,24068.0,1,1,new,24068.0
112,4.2704838663339615,old,1.0,stimuli/295.png,structured,22,0,boundary,24068.0,1,1,boundary,24068.0
113,0.8660545144230127,old,1.0,stimuli/297.png,structured,23,0,boundary,24068.0,1,1,boundary,24068.0
114,0.7375879138708115,new,0.0,stimuli/202.png,structured,24,0,new,24068.0,1,1,new,24068.0
115,0.895469528157264,old,1.0,stimuli/272.png,structured,25,0,nonboundary,24068.0,1,1,nonboundary,24068.0
116,1.0929922424256802,old,1.0,stimuli/135.png,structured,26,0,boundary,24068.0,1,1,boundary,24068.0
117,0.8231685226783156,new,0.0,stimuli/21.png,structured,27,0,new,24068.0,1,1,new,24068.0
118,0.696688701864332,old,0.0,stimuli/67.png,structured,28,0,boundary,24068.0,0,-1,boundary,24068.0
119,4.157678469084203,new,0.0,stimuli/120.png,structured,29,0,new,24068.0,1,1,new,24068.0
120,3.9366452349349856,old,1.0,stimuli/19.png,structured,30,1,nonboundary,24068.0,1,1,nonboundary,24068.0
121,1.1531827100552619,new,1.0,stimuli/81.png,structured,31,1,new,24068.0,0,-1,new,24068.0
122,0.9513568175025284,new,0.0,stimuli/221.png,structured,32,1,new,24068.0,1,1,new,24068.0
123,0.6848531495779753,old,1.0,stimuli/295.png,structured,33,1,boundary,24068.0,1,1,boundary,24068.0
124,0.8510637204162776,new,1.0,stimuli/52.png,structured,34,1,new,24068.0,0,-1,new,24068.0
125,0.37329047033563256,old,1.0,stimuli/135.png,structured,35,1,boundary,24068.0,1,1,boundary,24068.0
126,1.3121564192697406,new,0.0,stimuli/200.png,structured,36,1,new,24068.0,1,1,new,24068.0
127,0.3713242174126208,old,0.0,stimuli/23.png,structured,37,1,nonboundary,24068.0,0,-1,nonboundary,24068.0
128,0.7045811824500561,old,1.0,stimuli/32.png,structured,38,1,nonboundary,24068.0,1,1,nonboundary,24068.0
129,0.6567623531445861,new,0.0,stimuli/275.png,structured,39,1,new,24068.0,1,1,new,24068.0
130,0.7500015092082322,old,0.0,stimuli/68.png,structured,40,1,nonboundary,24068.0,0,-1,nonboundary,24068.0
131,1.281556943897158,old,0.0,stimuli/192.png,structured,41,1,boundary,24068.0,0,-1,boundary,24068.0
132,0.5047299945726991,new,0.0,stimuli/54.png,structured,42,1,new,24068.0,1,1,new,24068.0
133,0.19861812936142087,old,1.0,stimuli/297.png,structured,43,1,boundary,24068.0,1,1,boundary,24068.0
134,0.020171149168163538,new,0.0,stimuli/258.png,structured,44,1,new,24068.0,1,1,new,24068.0
135,0.277111291885376,old,0.0,stimuli/95.png,structured,45,1,nonboundary,24068.0,0,-1,nonboundary,24068.0
136,0.3826508494094014,old,1.0,stimuli/272.png,structured,46,1,nonboundary,24068.0,1,1,nonboundary,24068.0
137,0.4719282197766006,old,0.0,stimuli/247.png,structured,47,1,nonboundary,24068.0,0,-1,nonboundary,24068.0
138,0.3344857976771891,old,1.0,stimuli/69.png,structured,48,1,nonboundary,24068.0,1,1,nonboundary,24068.0
139,0.3396942256949842,new,0.0,stimuli/74.png,structured,49,1,new,24068.0,1,1,new,24068.0
140,0.4525971203111112,new,0.0,stimuli/195.png,structured,50,1,new,24068.0,1,1,new,24068.0
141,0.2694832324050367,old,1.0,stimuli/67.png,structured,51,1,boundary,24068.0,1,1,boundary,24068.0
142,0.26205137465149164,new,1.0,stimuli/245.png,structured,52,1,new,24068.0,0,-1,new,24068.0
143,0.3233185429126024,new,0.0,stimuli/160.png,structured,53,1,new,24068.0,1,1,new,24068.0
144,0.04921488743275404,new,0.0,stimuli/216.png,structured,54,1,new,24068.0,1,1,new,24068.0
145,0.29610069701448083,new,1.0,stimuli/142.png,structured,55,1,new,24068.0,0,-1,new,24068.0
146,0.3263814183883369,new,0.0,stimuli/265.png,structured,56,1,new,24068.0,1,1,new,24068.0
147,0.0573053820990026,new,0.0,stimuli/257.png,structured,57,1,new,24068.0,1,1,new,24068.0
148,0.2701980136334896,old,1.0,stimuli/294.png,structured,58,1,nonboundary,24068.0,1,1,nonboundary,24068.0
149,0.34974735137075186,old,1.0,stimuli/283.png,structured,59,1,boundary,24068.0,1,1,boundary,24068.0
150,4.297651000786573,old,1.0,stimuli/294.png,structured,60,2,nonboundary,24068.0,1,1,nonboundary,24068.0
151,0.9175610495731235,new,0.0,stimuli/173.png,structured,61,2,new,24068.0,1,1,new,24068.0
152,0.6154127800837159,old,1.0,stimuli/283.png,structured,62,2,boundary,24068.0,1,1,boundary,24068.0
153,0.9613039935939014,new,1.0,stimuli/218.png,structured,63,2,new,24068.0,0,-1,new,24068.0
154,0.909833378624171,old,1.0,stimuli/68.png,structured,64,2,nonboundary,24068.0,1,1,nonboundary,24068.0
155,0.9749980377964675,new,1.0,stimuli/79.png,structured,65,2,new,24068.0,0,-1,new,24068.0
156,0.6958881942555308,old,1.0,stimuli/69.png,structured,66,2,nonboundary,24068.0,1,1,nonboundary,24068.0
157,0.6147985151037574,new,0.0,stimuli/276.png,structured,67,2,new,24068.0,1,1,new,24068.0
158,0.516343988943845,new,0.0,stimuli/59.png,structured,68,2,new,24068.0,1,1,new,24068.0
159,0.6898617525584996,old,1.0,stimuli/297.png,structured,69,2,boundary,24068.0,1,1,boundary,24068.0
160,0.5041054664179683,new,0.0,stimuli/199.png,structured,70,2,new,24068.0,1,1,new,24068.0
161,0.6636330704204738,new,0.0,stimuli/288.png,structured,71,2,new,24068.0,1,1,new,24068.0
162,2.4752235203050077,old,1.0,stimuli/247.png,structured,72,2,nonboundary,24068.0,1,1,nonboundary,24068.0
163,0.9069498023018241,old,1.0,stimuli/295.png,structured,73,2,boundary,24068.0,1,1,boundary,24068.0
